q,30Ｃ,60 C,80 C,100C
0.09422,0.020683,0.021822,0.023249,0.021572
0.09464,0.021462,0.022953,0.023141,0.020576
0.09506,0.019578,0.020744,0.023932,0.021916
0.09548,0.021246,0.020155,0.023947,0.020445
0.0959,0.022155,0.02004,0.024406,0.020169
0.09631,0.021955,0.019561,0.024146,0.021478
0.09673,0.019307,0.021121,0.023083,0.020637
0.09715,0.021453,0.020393,0.025087,0.021583
0.09757,0.02032,0.021558,0.025122,0.02068
0.09799,0.021574,0.019715,0.026199,0.018952
0.09841,0.019862,0.019223,0.026346,0.021046
0.09883,0.018234,0.019426,0.026807,0.018682
0.09924,0.020106,0.019136,0.026634,0.01966
0.09966,0.018769,0.02127,0.026887,0.019971
0.10008,0.019156,0.021071,0.027518,0.019291
0.1005,0.018943,0.019951,0.027747,0.019388
0.10092,0.020559,0.020313,0.027293,0.018216
0.10134,0.018084,0.019912,0.027891,0.018612
0.10176,0.018277,0.02003,0.027301,0.018089
0.10218,0.018561,0.019519,0.02804,0.018161
0.10259,0.01955,0.02062,0.02767,0.017635
0.10301,0.01936,0.019102,0.026771,0.019381
0.10343,0.018862,0.019829,0.028259,0.017263
0.10385,0.017676,0.020866,0.026875,0.017177
0.10427,0.01956,0.019549,0.025329,0.016364
0.10469,0.017957,0.018391,0.024904,0.017434
0.10511,0.018298,0.019982,0.024999,0.017673
0.10553,0.017899,0.018519,0.023831,0.017508
0.10594,0.017327,0.01904,0.022147,0.016323
0.10636,0.018348,0.017914,0.023585,0.018733
0.10678,0.01864,0.018547,0.0229,0.016939
0.1072,0.018314,0.018906,0.021134,0.017395
0.10762,0.016846,0.017775,0.020985,0.017774
0.10804,0.017946,0.01856,0.019987,0.016708
0.10846,0.017637,0.018845,0.019152,0.016849
0.10887,0.018448,0.019657,0.017127,0.01774
0.10929,0.017999,0.018674,0.016834,0.018043
0.10971,0.01917,0.019372,0.01844,0.018405
0.11013,0.016432,0.018962,0.017461,0.017089
0.11055,0.016749,0.01646,0.016974,0.015499
0.11097,0.017493,0.018882,0.016735,0.01691
0.11139,0.017466,0.017049,0.014743,0.017103
0.11181,0.017674,0.016678,0.016118,0.017458
0.11222,0.016923,0.018205,0.014183,0.016783
0.11264,0.017366,0.016827,0.014827,0.018126
0.11306,0.015171,0.017599,0.015064,0.016678
0.11348,0.016842,0.018651,0.015154,0.016893
0.1139,0.016533,0.018087,0.014612,0.015365
0.11432,0.016141,0.017116,0.014294,0.015192
0.11474,0.016984,0.017856,0.013006,0.016467
