series,q_A^-1,I_q,pixel_x,pixel_y,match_score
0.5M,0.2123775,0.033989,982,646,0.6586
1M,0.0144564,0.483900,229,143,1.0000
1M,0.0157706,0.454383,234,176,1.0000
1M,0.0173477,0.420394,240,214,0.7557
1M,0.0186619,0.404293,245,232,0.9278
1M,0.0197133,0.384615,249,254,0.6778
1M,0.0212903,0.357782,255,284,0.5145
1M,0.0226045,0.341682,260,302,0.9034
1M,0.0241816,0.316637,266,330,0.6014
1M,0.0254958,0.297853,271,351,0.7267
1M,0.0273357,0.283542,278,367,0.7224
1M,0.0297013,0.253131,287,401,0.7224
1M,0.0325926,0.233453,298,423,0.5351
1M,0.0352210,0.219141,308,439,0.4314
1M,0.0373238,0.209302,316,450,0.3601
1M,0.0404779,0.201252,328,459,0.3713
1M,0.0431063,0.186047,338,476,0.4627
1M,0.0454719,0.179785,347,483,0.5065
1M,0.0530944,0.146691,376,520,0.4820
1M,0.0562485,0.141324,388,526,0.5056
1M,0.0586141,0.133274,397,535,0.5516
1M,0.0609797,0.129696,406,539,0.4708
1M,0.0638710,0.124329,417,545,0.4629
1M,0.0662366,0.118962,426,551,0.3456
1M,0.1027718,0.067979,565,608,0.8224
1M,0.1054002,0.067084,575,609,0.4551
1M,0.1130227,0.056351,604,621,0.6137
1M,0.1156511,0.054562,614,623,0.5394
1M,0.1182796,0.057245,624,620,0.5131
1M,0.1209080,0.056351,634,621,0.4544
1M,0.1235364,0.052773,644,625,0.5596
1M,0.1287933,0.049195,664,629,0.4802
1M,0.1314217,0.045617,674,633,0.4692
1M,0.1337873,0.042934,683,636,0.5596
1M,0.1364158,0.042039,693,637,0.5328
1M,0.1390442,0.041145,703,638,0.5943
1M,0.1416726,0.040250,713,639,0.4950
1M,0.1443011,0.039356,723,640,0.4551
1M,0.1466667,0.033095,732,647,0.6278
1M,0.1492951,0.032200,742,648,0.5004
1M,0.1516607,0.028623,751,652,0.6159
1M,0.1545520,0.029517,762,651,0.5328
1M,0.1569176,0.029517,771,651,0.5461
1M,0.1595460,0.029517,781,651,0.3220
1M,0.1648029,0.026834,801,654,0.5328
1M,0.1671685,0.025939,810,655,0.4209
1M,0.1695341,0.022361,819,659,0.5473
1M,0.1721625,0.018784,829,663,0.5328
1M,0.1747909,0.020572,839,661,0.4924
1M,0.1824134,0.016995,868,665,0.5802
1M,0.1850418,0.013417,878,669,0.4666
1M,0.1874074,0.015206,887,667,0.5683
1M,0.1900358,0.015206,897,667,0.5528
1M,0.1924014,0.016100,906,666,0.3506
1M,0.1950299,0.012522,916,670,0.5802
1M,0.1973955,0.010733,925,672,0.5865
1M,0.2000239,0.010733,935,672,0.5802
1M,0.2026523,0.011628,945,671,0.5455
