Q,I_obs,err,I_fit,I_fit_over_I_obs
2.097426551875726172e-02,1.191988170415952952e-01,7.447203597482791003e-03,1.337815600780475622e-01,1.122339662409262973e+00
2.176396827728280595e-02,1.310896276962785489e-01,7.697927275316631714e-03,1.328098268039697993e-01,1.013122312862744456e+00
2.304986580035186736e-02,1.266417068725399775e-01,5.029338091830422124e-03,1.331523334339144715e-01,1.051409813734800469e+00
2.425756125598791529e-02,1.307128342001200594e-01,6.071602613432832904e-03,1.335830660111615165e-01,1.021958301406326708e+00
2.490719186390941836e-02,1.333264926587003907e-01,6.964038401566651978e-03,1.340865665227081172e-01,1.005700846462326270e+00
2.579865889394116624e-02,1.300129286391510930e-01,5.668390950112012217e-03,1.353887972859845190e-01,1.041348723570054036e+00
2.667013987670234162e-02,1.327420040178379779e-01,5.607676747587653047e-03,1.368612399474796459e-01,1.031031894991491393e+00
2.771503015016948956e-02,1.337219584343993795e-01,5.050441057586125236e-03,1.393355847321386676e-01,1.041979839088979398e+00
2.859368421612196523e-02,1.447388475778018102e-01,6.308762827458634474e-03,1.418407683207739689e-01,9.799771843874186539e-01
2.951447492885961657e-02,1.444092804922214313e-01,4.517379559582457814e-03,1.446087274628699293e-01,1.001381122944236646e+00
3.061562445324804427e-02,1.523954733697741037e-01,5.198985041494638172e-03,1.482085440515551744e-01,9.725258944663026650e-01
3.156227979959883023e-02,1.523267807800258722e-01,4.982826824826660193e-03,1.516839668450994938e-01,9.957800333491281242e-01
3.259506328870292319e-02,1.528559138970415343e-01,4.655112922398316026e-03,1.558768466934599695e-01,1.019763270647501718e+00
3.384712910430039134e-02,1.583590114553078410e-01,4.114957702039090739e-03,1.613740699935293788e-01,1.019039387215879611e+00
3.502666680268168992e-02,1.668979658576253133e-01,4.437074541786307710e-03,1.667889005325490503e-01,9.993465149529185965e-01
3.608411690544479494e-02,1.761067017263059087e-01,4.236353023761707873e-03,1.717258466325338739e-01,9.751238592806054095e-01
3.740308270479330427e-02,1.819255605529503106e-01,3.753087030753142223e-03,1.780199170313801205e-01,9.785316394810094076e-01
3.851348080971872534e-02,1.887532701027627990e-01,3.282287534437223261e-03,1.834382961168261605e-01,9.718416852696485364e-01
3.978499794244601956e-02,1.991021640069542964e-01,2.624922442637678700e-03,1.895659520555260658e-01,9.521039261477080018e-01
4.163161920608882821e-02,2.047277781211408743e-01,3.103671195707731825e-03,1.980487257193855877e-01,9.673759347019182941e-01
4.289679195542570739e-02,2.059852127791504117e-01,3.480293306388370159e-03,2.034617530246727868e-01,9.877493159803505396e-01
4.438414979045095243e-02,2.099463894258136731e-01,3.370422363937123581e-03,2.091728146826201118e-01,9.963153701032476661e-01
4.566001087036158923e-02,2.147774974198096709e-01,2.190819258176102124e-03,2.134022501674265604e-01,9.935968745846077699e-01
4.740162685349656041e-02,2.274252848737184363e-01,3.328207881095915539e-03,2.180898721687019037e-01,9.589517378852567830e-01
4.886980810049567497e-02,2.260363509132689575e-01,2.323516678806857808e-03,2.209398332350231142e-01,9.774526634426097260e-01
5.093309922617410973e-02,2.271621323465286002e-01,2.431489604592870779e-03,2.231388830032913495e-01,9.822890844452017989e-01
5.248379674487226032e-02,2.234949374981469727e-01,2.218582901355351227e-03,2.234327637502466768e-01,9.997218113815181662e-01
5.437961251237895255e-02,2.223311563616936493e-01,2.059691992077554434e-03,2.222467436167200328e-01,9.996203287638359969e-01
5.668469861568958129e-02,2.181127307320829267e-01,2.282125176541330465e-03,2.187141024099733544e-01,1.002757159913921337e+00
5.800105797149550380e-02,2.179489901516449002e-01,2.668954409855094165e-03,2.158369286782141350e-01,9.903093771071789231e-01
6.029426732721518412e-02,2.108496214880172803e-01,1.552674194443990404e-03,2.095457087764701076e-01,9.938159115375918562e-01
6.212917967761300009e-02,2.069284506462538142e-01,2.452953397891790600e-03,2.036140414548284761e-01,9.839828250727525871e-01
6.404774697856922827e-02,1.983576469957346045e-01,1.822639984722328882e-03,1.968718146237176669e-01,9.925093264891931000e-01
6.636490686460176647e-02,1.866550532753055713e-01,1.622400893346168712e-03,1.882238191330812549e-01,1.008404625699909962e+00
6.904567655939464199e-02,1.779002959833485553e-01,1.523615840362287218e-03,1.780789562855962793e-01,1.001004272091061909e+00
7.101138663560449538e-02,1.758378906387705054e-01,2.145645574462007755e-03,1.708249623069761913e-01,9.714911938855514961e-01
7.336895743619251120e-02,1.665951931688930687e-01,1.456754010806404808e-03,1.625781273055858789e-01,9.758872642907846506e-01
