Q,I_obs,err,I_fit,I_fit_over_I_obs
1.520999999999999956e-02,7.363686018618462170e-02,8.279999999999999166e-03,6.642170587093078338e-02,9.020170836044485441e-01
1.600999999999999993e-02,6.168686018618461941e-02,8.070000000000000784e-03,6.709666652908652384e-02,1.087697871581952969e+00
1.680999999999999855e-02,5.778686018618461873e-02,7.779999999999999589e-03,6.842295286739859261e-02,1.184057286499826001e+00
1.761000000000000065e-02,6.752686018618461739e-02,7.729999999999999892e-03,7.016215861124101838e-02,1.039025928612560490e+00
1.840999999999999928e-02,6.442686018618461186e-02,7.400000000000000328e-03,7.220450622509397287e-02,1.120720550659042747e+00
1.921000000000000138e-02,7.469686018618461321e-02,7.320000000000000118e-03,7.461965292576813735e-02,9.989663921585989481e-01
2.001000000000000001e-02,6.633686018618462077e-02,7.170000000000000158e-03,7.734065145923965656e-02,1.165877481119413916e+00
2.080999999999999864e-02,8.078686018618461140e-02,6.779999999999999569e-03,8.033587545670056729e-02,9.944175980048650665e-01
2.161000000000000074e-02,7.804686018618461896e-02,6.649999999999999661e-03,8.360381300089293755e-02,1.071200209738763842e+00
2.240999999999999936e-02,8.831686018618462031e-02,6.490000000000000109e-03,8.701091495518450958e-02,9.852129567531388021e-01
2.321000000000000146e-02,8.140686018618462083e-02,6.570000000000000319e-03,9.045867475563948434e-02,1.111192282183007363e+00
2.401000000000000009e-02,9.337686018618462924e-02,6.429999999999999952e-03,9.392746476497546015e-02,1.005896584846534436e+00
2.480999999999999872e-02,1.041368601861846210e-01,6.239999999999999887e-03,9.728218465922565394e-02,9.341762799963087005e-01
2.561000000000000082e-02,1.066068601861846210e-01,6.049999999999999822e-03,1.004783203402244696e-01,9.425127066376695062e-01
2.640999999999999945e-02,1.014868601861846076e-01,6.040000000000000230e-03,1.034285975602382002e-01,1.019132894351951979e+00
2.721000000000000155e-02,1.156968601861846080e-01,5.870000000000000218e-03,1.061038070533326938e-01,9.170845853775604350e-01
2.800000000000000058e-02,1.127068601861846153e-01,5.899999999999999863e-03,1.083879475373809437e-01,9.616801262880617651e-01
2.879999999999999921e-02,1.213768601861846264e-01,5.749999999999999903e-03,1.102855489155432633e-01,9.086208750693668401e-01
2.960000000000000131e-02,1.274668601861846107e-01,5.799999999999999600e-03,1.117343094501562217e-01,8.765753646630298768e-01
3.039999999999999994e-02,1.073768601861846139e-01,5.709999999999999798e-03,1.126891719244196566e-01,1.049473524640446964e+00
3.119999999999999857e-02,1.205968601861846234e-01,5.669999999999999693e-03,1.131296146944901632e-01,9.380809294689258504e-01
3.200000000000000067e-02,1.128068601861846043e-01,5.530000000000000193e-03,1.130348298984440170e-01,1.002020885182719923e+00
3.280000000000000276e-02,1.156968601861846080e-01,5.539999999999999786e-03,1.124410275901456535e-01,9.718589373056492065e-01
3.359999999999999792e-02,1.126368601861846286e-01,5.459999999999999576e-03,1.113517155082866111e-01,9.885903719637273435e-01
