Q,I_obs,err,I_fit,I_fit_over_I_obs
1.516607000000000094e-01,9.090464214021015676e-02,3.000000000000000062e-03,9.958576579821004637e-02,1.095497033524539310e+00
1.569175999999999904e-01,9.179864214021014879e-02,3.000000000000000062e-03,9.621440946583807718e-02,1.048102752096086832e+00
1.598088000000000009e-01,9.269364214021014181e-02,3.000000000000000062e-03,9.446316726259477992e-02,1.019090037693286765e+00
1.619115999999999889e-01,9.179864214021014879e-02,3.000000000000000062e-03,9.323059059096601431e-02,1.015598797731329883e+00
1.648029000000000022e-01,8.911564214021014396e-02,3.000000000000000062e-03,9.159531647335422688e-02,1.027825354489873888e+00
1.695340999999999931e-01,8.464364214021014021e-02,3.000000000000000062e-03,8.903970440438925549e-02,1.051936118921928509e+00
1.797848999999999975e-01,8.553764214021014611e-02,3.000000000000000062e-03,8.396426678711955971e-02,9.816060471890075689e-01
1.824134000000000033e-01,7.927664214021014344e-02,3.000000000000000062e-03,8.275289106365220360e-02,1.043849598439019477e+00
1.850418000000000063e-01,8.732664214021014504e-02,3.000000000000000062e-03,8.157850039067825187e-02,9.341765398433300449e-01
1.871445999999999943e-01,8.732664214021014504e-02,3.000000000000000062e-03,8.065985405632261629e-02,9.236568827050117836e-01
1.897729999999999972e-01,8.553764214021014611e-02,3.000000000000000062e-03,7.954440627696836297e-02,9.299345210683047647e-01
1.924014000000000002e-01,8.911564214021014396e-02,3.000000000000000062e-03,7.845434806367360125e-02,8.803656258262427814e-01
1.950299000000000060e-01,8.464364214021014021e-02,3.000000000000000062e-03,7.739679335669517879e-02,9.143840151453935805e-01
1.973955000000000015e-01,8.732664214021014504e-02,3.000000000000000062e-03,7.646487488241827946e-02,8.756190895288015197e-01
2.000239000000000045e-01,8.374864214021014719e-02,3.000000000000000062e-03,7.546287804640598729e-02,9.010638992817063819e-01
2.026523000000000074e-01,8.822164214021015194e-02,3.000000000000000062e-03,7.447995501286663877e-02,8.442367791623746065e-01
2.050179000000000029e-01,8.732664214021014504e-02,3.000000000000000062e-03,7.362557668957737944e-02,8.431055504386099075e-01
2.073834999999999984e-01,8.822164214021015194e-02,3.000000000000000062e-03,7.278100028235677532e-02,8.249789792700338298e-01
2.150060000000000027e-01,8.822164214021015194e-02,3.000000000000000062e-03,7.021550378063057263e-02,7.958988529032079429e-01
