Q,I_obs,err,I_fit,I_fit_over_I_obs
1.337872999999999979e-01,7.372435255509590668e-02,3.000000000000000062e-03,7.060296756373404814e-02,9.576614119597839370e-01
1.364158000000000037e-01,6.120235255509590827e-02,3.000000000000000062e-03,6.926950460495913398e-02,1.131811143086386640e+00
1.387813999999999992e-01,6.925235255509590293e-02,3.000000000000000062e-03,6.811076264265494840e-02,9.835155071225526457e-01
1.416726000000000096e-01,6.030735255509590831e-02,3.000000000000000062e-03,6.674206702056310891e-02,1.106698672596986288e+00
1.443010999999999877e-01,5.941335255509590935e-02,3.000000000000000062e-03,6.554151743200062330e-02,1.103144572951372693e+00
1.466667000000000110e-01,6.656935255509591198e-02,3.000000000000000062e-03,6.449561613040785679e-02,9.688484813943213370e-01
1.495578999999999936e-01,6.209635255509590723e-02,3.000000000000000062e-03,6.326512217780794201e-02,1.018821872374468862e+00
1.516607000000000094e-01,5.941335255509590935e-02,3.000000000000000062e-03,6.239463879681007158e-02,1.050178724369231986e+00
1.545519999999999949e-01,6.120235255509590827e-02,3.000000000000000062e-03,6.123172782804511827e-02,1.000479969669838543e+00
1.569175999999999904e-01,6.209635255509590723e-02,3.000000000000000062e-03,6.031723754618472516e-02,9.713491221995264047e-01
1.595459999999999934e-01,6.209635255509590723e-02,3.000000000000000062e-03,5.932700660637157258e-02,9.554024377475763830e-01
1.619115999999999889e-01,6.120235255509590827e-02,3.000000000000000062e-03,5.846317201808950287e-02,9.552438685336397395e-01
1.648029000000000022e-01,5.494135255509590560e-02,3.000000000000000062e-03,5.744082049641159593e-02,1.045493382035129093e+00
1.671684999999999977e-01,5.941335255509590935e-02,3.000000000000000062e-03,5.662580222604784302e-02,9.530820899819938408e-01
1.695340999999999931e-01,5.673035255509591146e-02,3.000000000000000062e-03,5.584236116595201610e-02,9.843471554617699848e-01
1.721624999999999961e-01,5.315235255509590667e-02,3.000000000000000062e-03,5.498992840219854572e-02,1.034571862933025832e+00
1.747908999999999990e-01,5.315235255509590667e-02,3.000000000000000062e-03,5.416148755351137684e-02,1.018985707121231155e+00
1.771564999999999945e-01,5.315235255509590667e-02,3.000000000000000062e-03,5.343836806123932609e-02,1.005381050741769977e+00
1.824134000000000033e-01,5.046835255509590779e-02,3.000000000000000062e-03,5.189455986107333746e-02,1.028259438514868229e+00
1.847789999999999988e-01,4.778535255509590990e-02,3.000000000000000062e-03,5.122297954583355378e-02,1.071938927033636579e+00
1.871445999999999943e-01,4.957435255509590882e-02,3.000000000000000062e-03,5.057670285284003586e-02,1.020219130378558825e+00
1.897729999999999972e-01,4.957435255509590882e-02,3.000000000000000062e-03,4.987084589478280039e-02,1.005980780875703307e+00
1.924014000000000002e-01,4.957435255509590882e-02,3.000000000000000062e-03,4.919023870468323956e-02,9.922517626430769067e-01
1.947669999999999957e-01,4.778535255509590990e-02,3.000000000000000062e-03,4.858943726737696006e-02,1.016827012238822547e+00
1.973955000000000015e-01,4.689135255509591094e-02,3.000000000000000062e-03,4.794367042653160937e-02,1.022441619063968243e+00
1.997610999999999970e-01,4.241835255509590619e-02,3.000000000000000062e-03,4.737388909103391887e-02,1.116825294652860956e+00
2.023895000000000000e-01,5.046835255509590779e-02,3.000000000000000062e-03,4.676092375125523448e-02,9.265395318820185411e-01
2.047550999999999954e-01,5.404635255509590563e-02,3.000000000000000062e-03,4.621943653179091949e-02,8.551814201462332177e-01
2.073834999999999984e-01,5.315235255509590667e-02,3.000000000000000062e-03,4.563685309028830267e-02,8.586045752722366586e-01
2.097490999999999939e-01,5.136335255509590775e-02,3.000000000000000062e-03,4.512082183819874498e-02,8.784633321938829509e-01
2.123774999999999968e-01,5.225735255509590671e-02,3.000000000000000062e-03,4.456574614978209975e-02,8.528129338889794964e-01
