Q,I,err,count
1.387813999999999992e-01,5.098400000000000154e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.416726000000000096e-01,4.203899999999999998e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,4.114500000000000102e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.466667000000000110e-01,4.830099999999999671e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.495578999999999936e-01,4.382799999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,4.114500000000000102e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.545519999999999949e-01,4.293399999999999994e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,4.382799999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.595459999999999934e-01,4.382799999999999890e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.619115999999999889e-01,4.293399999999999994e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,3.667299999999999727e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.671684999999999977e-01,4.114500000000000102e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,3.846200000000000313e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.721624999999999961e-01,3.488399999999999834e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.747908999999999990e-01,3.488399999999999834e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.771564999999999945e-01,3.488399999999999834e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,3.219999999999999946e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.847789999999999988e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.871445999999999943e-01,3.130600000000000049e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.897729999999999972e-01,3.130600000000000049e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.924014000000000002e-01,3.130600000000000049e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.947669999999999957e-01,2.951700000000000157e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,2.862299999999999914e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.997610999999999970e-01,2.415000000000000133e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.023895000000000000e-01,3.219999999999999946e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.047550999999999954e-01,3.577799999999999730e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.073834999999999984e-01,3.488399999999999834e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.097490999999999939e-01,3.309499999999999942e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.123774999999999968e-01,3.398899999999999838e-02,3.000000000000000062e-03,1.000000000000000000e+00
