Q,I,err,count
1.261648999999999965e-01,1.123003232767439685e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.287932999999999995e-01,1.087223232767439707e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.311588999999999949e-01,1.060393232767439659e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.337872999999999979e-01,1.024613232767439680e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.364158000000000037e-01,1.015663232767439750e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.390442000000000067e-01,1.006723232767439691e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.414098000000000022e-01,1.006723232767439691e-01,3.000000000000000062e-03,1.000000000000000000e+00
1.443010999999999877e-01,9.977732327674396218e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.466667000000000110e-01,9.262232327674396748e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.492950999999999862e-01,9.262232327674396748e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.516607000000000094e-01,8.904432327674396963e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.542891000000000123e-01,8.904432327674396963e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.569175999999999904e-01,8.904432327674396963e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.595459999999999934e-01,8.993832327674397553e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.619115999999999889e-01,8.993832327674397553e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.648029000000000022e-01,8.636132327674396481e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.671684999999999977e-01,8.636132327674396481e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.695340999999999931e-01,8.188832327674397393e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.721624999999999961e-01,7.831132327674396321e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.747908999999999990e-01,8.009932327674396113e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.771564999999999945e-01,8.367732327674397286e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.797848999999999975e-01,8.278332327674396696e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.824134000000000033e-01,7.652232327674396428e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.850418000000000063e-01,7.294432327674396643e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.871445999999999943e-01,7.473332327674396536e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.897729999999999972e-01,7.473332327674396536e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.926643000000000105e-01,7.741632327674397018e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.950299000000000060e-01,7.204932327674397341e-02,3.000000000000000062e-03,1.000000000000000000e+00
1.973955000000000015e-01,7.026032327674397449e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.000239000000000045e-01,7.026032327674397449e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.026523000000000074e-01,7.115532327674396751e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.050179000000000029e-01,7.562732327674397126e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.073834999999999984e-01,7.383832327674397233e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.100119000000000014e-01,7.562732327674397126e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.123774999999999968e-01,7.562732327674397126e-02,3.000000000000000062e-03,1.000000000000000000e+00
2.150060000000000027e-01,7.294432327674396643e-02,3.000000000000000062e-03,1.000000000000000000e+00
