Q,I_obs,err,I_fit,I_fit_over_I_obs
3.851348080971872534e-02,1.887532701027627990e-01,3.282287534437223261e-03,1.789040924836411972e-01,9.478198305451374095e-01
3.978499794244601956e-02,1.991021640069542964e-01,2.624922442637678700e-03,1.839944478607248302e-01,9.241207838117632134e-01
4.163161920608882821e-02,2.047277781211408743e-01,3.103671195707731825e-03,1.913768436680403084e-01,9.347868932314569168e-01
4.289679195542570739e-02,2.059852127791504117e-01,3.480293306388370159e-03,1.962674717576538830e-01,9.528231134148666959e-01
4.438414979045095243e-02,2.099463894258136731e-01,3.370422363937123581e-03,2.015297945204777286e-01,9.599107423168616871e-01
4.566001087036158923e-02,2.147774974198096709e-01,2.190819258176102124e-03,2.055868617797974862e-01,9.572085728233999946e-01
4.740162685349656041e-02,2.274252848737184363e-01,3.328207881095915539e-03,2.102029551702542798e-01,9.242725815951945423e-01
4.886980810049567497e-02,2.260363509132689575e-01,2.323516678806857808e-03,2.136677416281629882e-01,9.452804416850109082e-01
5.093309922617410973e-02,2.271621323465286002e-01,2.431489604592870779e-03,2.171395832867828168e-01,9.558793142315784586e-01
5.248379674487226032e-02,2.234949374981469727e-01,2.218582901355351227e-03,2.181152271193325665e-01,9.759291622484334017e-01
5.437961251237895255e-02,2.223311563616936493e-01,2.059691992077554434e-03,2.175513410079668031e-01,9.785013696148329165e-01
5.668469861568958129e-02,2.181127307320829267e-01,2.282125176541330465e-03,2.158694661501645018e-01,9.897151139486950466e-01
5.800105797149550380e-02,2.179489901516449002e-01,2.668954409855094165e-03,2.136221335424568768e-01,9.801473885876806902e-01
6.029426732721518412e-02,2.108496214880172803e-01,1.552674194443990404e-03,2.083806779788247021e-01,9.882905006337282527e-01
6.212917967761300009e-02,2.069284506462538142e-01,2.452953397891790600e-03,2.028928171613229858e-01,9.804974450234985595e-01
6.404774697856922827e-02,1.983576469957346045e-01,1.822639984722328882e-03,1.962691424505476068e-01,9.894710157293209463e-01
6.636490686460176647e-02,1.866550532753055713e-01,1.622400893346168712e-03,1.873714420681802106e-01,1.003838035886539970e+00
6.904567655939464199e-02,1.779002959833485553e-01,1.523615840362287218e-03,1.769355798858933126e-01,9.945772091489631928e-01
7.101138663560449538e-02,1.758378906387705054e-01,2.145645574462007755e-03,1.694111046561003475e-01,9.634505056940604328e-01
7.336895743619251120e-02,1.665951931688930687e-01,1.456754010806404808e-03,1.609680873856511318e-01,9.662228802872048217e-01
7.588539658703885582e-02,1.585598889899533792e-01,1.574497791190115382e-03,1.528152235581313467e-01,9.637697436065559842e-01
