Q,I_obs,err,I_fit,I_fit_over_I_obs
4.290000000000000410e-03,9.348268601861846605e-01,8.004200000000000204e-01,6.893319177886113591e-01,7.373899351280093217e-01
4.429999999999999910e-03,6.151668601861846053e-01,7.353399999999999936e-01,6.137379202836850123e-01,9.976771507131136918e-01
4.729999999999999830e-03,4.414068601861845798e-01,6.573200000000000154e-01,4.878939089792975192e-01,1.105315646371025640e+00
4.870000000000000197e-03,7.148768601861846816e-01,6.337699999999999445e-01,4.418187070235680136e-01,6.180347016806494453e-01
5.020000000000000157e-03,4.516568601861846721e-01,6.053699999999999637e-01,3.985116648559962060e-01,8.823328061301213276e-01
5.309999999999999616e-03,4.356686018618462219e-02,5.518499999999999517e-01,3.318452690308865138e-01,7.616919548774761850e+00
5.599999999999999943e-03,1.005768601861846134e-01,5.218500000000000361e-01,2.804359430802756958e-01,2.788274982547096936e+00
5.749999999999999903e-03,4.559368601861846226e-01,5.136600000000000055e-01,2.592262204026365979e-01,5.685572785161084886e-01
5.890000000000000270e-03,4.020068601861845892e-01,5.121599999999999486e-01,2.410667472738359796e-01,5.996582923042379498e-01
6.040000000000000230e-03,4.112768601861845896e-01,4.770199999999999996e-01,2.245166151049191594e-01,5.459014032622228063e-01
6.329999999999999689e-03,6.196268601861846248e-01,4.725400000000000156e-01,1.971756175615556328e-01,3.182167046507773378e-01
6.470000000000000057e-03,1.101068601861846241e-01,4.602800000000000225e-01,1.863228899700847541e-01,1.692200555487850977e+00
6.620000000000000016e-03,1.912968601861846085e-01,4.472800000000000109e-01,1.754830489398501447e-01,9.173336602025602415e-01
6.769999999999999976e-03,2.727368601861845931e-01,4.437400000000000233e-01,1.663400686007405205e-01,6.098921447111622651e-01
6.910000000000000343e-03,2.498268601861846350e-01,4.428699999999999859e-01,1.581394431245949084e-01,6.329961598474269646e-01
7.060000000000000303e-03,2.923368601861846550e-01,4.374700000000000255e-01,1.508208776085964153e-01,5.159146797723045408e-01
7.199999999999999803e-03,3.675268601861846340e-01,4.222799999999999887e-01,1.441609984520893228e-01,3.922461568633626161e-01
7.349999999999999763e-03,2.119686018618462120e-02,4.250999999999999779e-01,1.382143374486397569e-01,6.520509935651841005e+00
7.499999999999999722e-03,4.295468601861845981e-01,4.093899999999999761e-01,1.324183665558098522e-01,3.082745535572390949e-01
