Q,I_obs,err,I_fit,I_fit_over_I_obs
8.197715529228655207e-02,3.559896276805288307e-01,1.631904926543730839e-03,3.495918302150621271e-01,9.820281351814884596e-01
8.508976933886307215e-02,3.587261832968191011e-01,1.856501026719618907e-03,3.548442122721431335e-01,9.891784564232271038e-01
8.784890981392069753e-02,3.599517794005824833e-01,1.757818548353058457e-03,3.569496599469103026e-01,9.916596621395468159e-01
9.000361925701749755e-02,3.605180937295470733e-01,3.005107695592437300e-03,3.573412789892249086e-01,9.911881961111629336e-01
9.388637713796940676e-02,3.542533827309484185e-01,1.434375818373653019e-03,3.558714151389409941e-01,1.004567443775749247e+00
9.612972625647848990e-02,3.509980262367028980e-01,3.697323376604126112e-03,3.542108405545938421e-01,1.009153368616734880e+00
1.006199045739266107e-01,3.462580389128958602e-01,1.654692703704444467e-03,3.468477873352221463e-01,1.001703204997573149e+00
1.046591747308867476e-01,3.395387104718182725e-01,2.243738488163534231e-03,3.371290125077920918e-01,9.929030243394701971e-01
1.086973725861200141e-01,3.291969812440142529e-01,1.429485090671781368e-03,3.247470331240152608e-01,9.864824151692310750e-01
1.134447459187657437e-01,3.152890810530176724e-01,1.811993282733874531e-03,3.080052771075612594e-01,9.768980139714017463e-01
1.173110143632663666e-01,3.004233797119303384e-01,1.730019573706540132e-03,2.932258127595639419e-01,9.760419213735362920e-01
1.219069958677685694e-01,2.912093211250714186e-01,1.598586363537181409e-03,2.759357506284086936e-01,9.475512307172926363e-01
1.257718244152171150e-01,2.821060629229225070e-01,1.946630580221521845e-03,2.622349041939771586e-01,9.295613907653782482e-01
1.298218015330372122e-01,2.708441674464859839e-01,1.356237734858605111e-03,2.491149667860239059e-01,9.197723145920969623e-01
1.346654973489948004e-01,2.534245288428272902e-01,1.532673006865934492e-03,2.356182940063138997e-01,9.297375241543539559e-01
1.388294635021068979e-01,2.489428949401646940e-01,1.395154874158732392e-03,2.260634051010523837e-01,9.080934210047988397e-01
1.433722078266791711e-01,2.382746044744412095e-01,1.319307173644933533e-03,2.178948475095584814e-01,9.144694542255812353e-01
1.488793485872868805e-01,2.279600656207820819e-01,1.188668830450285941e-03,2.099614066913609300e-01,9.210446843818582696e-01
1.540677305202894642e-01,2.201580188887257705e-01,1.289333848997874536e-03,2.039359684326091937e-01,9.263163316149040094e-01
1.587191720666215888e-01,2.086430912052514297e-01,1.145914384999901364e-03,1.992145576482355074e-01,9.548102287856699011e-01
1.645206263346651598e-01,2.010410926476002835e-01,1.018434880258177900e-03,1.938006086881007006e-01,9.639850546764027195e-01
1.706614019695936457e-01,1.923106185151701175e-01,1.004761501793961483e-03,1.881263210004782971e-01,9.782419839996420174e-01
1.764236542046940248e-01,1.881456521450380337e-01,1.034747223025980203e-03,1.827263250285193208e-01,9.711961076180434249e-01
1.822887185420839495e-01,1.796714938236131376e-01,9.459474636888694611e-04,1.772436375345933512e-01,9.864872482698715528e-01
1.886853522393059091e-01,1.735492908412668567e-01,8.953706614783756967e-04,1.713762678081863500e-01,9.874789287668825910e-01
1.952277147316726080e-01,1.680799471367240283e-01,8.728052393812534698e-04,1.655941774958445967e-01,9.852107899649837908e-01
2.018098375457103855e-01,1.627016216224485556e-01,8.336272715920510197e-04,1.600687881553628789e-01,9.838180256543772595e-01
2.085002909161943474e-01,1.562708633695242266e-01,8.009086019675153547e-04,1.548391433718963039e-01,9.908382153476530396e-01
2.157164826713502404e-01,1.522176970979061683e-01,7.432349845815783285e-04,1.495700344915160962e-01,9.826060789456885214e-01
2.232864832888701023e-01,1.472973521322688550e-01,7.285477750861341258e-04,1.444259378201655786e-01,9.805060018354924134e-01
2.308392220110309090e-01,1.425158328972214727e-01,7.043111918863003600e-04,1.396480645332432990e-01,9.798775454931640816e-01
2.384541492281614661e-01,1.377665913045845736e-01,6.669962840603213755e-04,1.351513418860099403e-01,9.810168097082938576e-01
2.466871024373974153e-01,1.325380713470896143e-01,6.326127010907466085e-04,1.306449586357888437e-01,9.857164609982659309e-01
2.551228988787717089e-01,1.284422858344429486e-01,6.154607331900860834e-04,1.263340520971894809e-01,9.835861396925705824e-01
2.640211177172789858e-01,1.237167478265356335e-01,5.613156951083987396e-04,1.220781358206892153e-01,9.867551319070888560e-01
2.732807479855638988e-01,1.208315577706664534e-01,5.717506255496280403e-04,1.179400740311913609e-01,9.760701277644453500e-01
2.822330290347649928e-01,1.163767117253586836e-01,5.422676473857061634e-04,1.141922036895803017e-01,9.812289932977855678e-01
2.920439865897109799e-01,1.127594970306721317e-01,4.877692771272984160e-04,1.103529888945820742e-01,9.786580447814923200e-01
3.022480341885022681e-01,1.091492671969649664e-01,4.989532624176824241e-04,1.066475645643587128e-01,9.770799869128593551e-01
3.122866481160652130e-01,1.061778138034821378e-01,4.688111053659512286e-04,1.032357179938245689e-01,9.722908609221987408e-01
3.231381141473891327e-01,1.032988852667823115e-01,4.674443304243156949e-04,9.978073553451748123e-02,9.659420358392177830e-01
3.343118730881861622e-01,9.932889923157391110e-02,4.522148023600313250e-04,9.644984931688144192e-02,9.710149821757282362e-01
3.459039275614308462e-01,9.739443348101667342e-02,4.500082276202809189e-04,9.320711655211076641e-02,9.570066093179537825e-01
3.575591038206403227e-01,9.388209089104322669e-02,4.353660508394451402e-04,9.015773904798118910e-02,9.603294749007623698e-01
3.694499927832214370e-01,9.045403958955530732e-02,4.499565223852722458e-04,8.726233157366808380e-02,9.647145884211481004e-01
3.825196365059411741e-01,8.763549381921190151e-02,4.545012794028908563e-04,8.428315975128722326e-02,9.617468456919933129e-01
3.957644323559594279e-01,8.401034961385131505e-02,4.954481419001599204e-04,8.145569105720690262e-02,9.695911448007685784e-01
